age,gender,education,family,salary,working time,contract time,autonomy,intensity,interaction,meaningful,Declared satisfaction
41,W,Primary or lower secondary education,Other type of household with children,968,16.0,long term,10,3,4,9,1
26,W,Tertiary education,Single adult without children,1781,35.0,long term,7,14,5,10,1
33,M,Upper secondary or post-secondary education,Other type of household without children,1829,20.0,long term,3,2,2,2,3
39,W,Tertiary education,Couple without children,1246,41.0,long term,5,6,2,8,3
35,W,Tertiary education,Couple without children,2813,39.0,long term,5,14,2,5,2
46,M,Upper secondary or post-secondary education,Other type of household without children,2023,35.0,long term,3,4,4,7,3
37,M,Upper secondary or post-secondary education,Couple with children,3696,40.0,long term,9,8,4,9,3
44,W,Tertiary education,Couple without children,4549,40.0,long term,11,4,3,9,2
31,W,Tertiary education,Single adult with children,2838,20.0,long term,9,14,4,9,2
27,W,Tertiary education,Other type of household with children,1954,39.0,long term,11,10,3,8,2
53,W,Upper secondary or post-secondary education,Single adult with children,1449,20.0,long term,10,10,3,6,3
35,W,Tertiary education,Couple with children,1564,12.0,long term,3,5,3,4,1
65,W,Primary or lower secondary education,Other type of household without children,2073,40.0,long term,10,14,4,9,2
29,M,Tertiary education,Single adult without children,1833,40.0,short term,10,11,4,5,2
72,W,Upper secondary or post-secondary education,Single adult without children,2657,42.0,long term,10,2,4,10,2
34,M,Tertiary education,Single adult without children,1745,35.0,long term,5,4,2,10,3
30,W,Upper secondary or post-secondary education,Couple without children,2685,42.0,short term,6,11,5,8,2
35,M,Upper secondary or post-secondary education,Other type of household with children,2738,35.0,long term,9,13,4,9,2
28,W,Tertiary education,Single adult without children,2481,50.0,long term,4,4,3,5,3
42,M,No education completed,Couple with children,2215,35.0,long term,10,2,4,10,2
27,M,No education completed,Other type of household with children,3249,35.0,long term,7,2,3,9,4
60,W,Tertiary education,Couple without children,1085,28.0,long term,9,5,2,8,3
43,W,Upper secondary or post-secondary education,Couple without children,2285,40.0,long term,12,10,3,6,2
40,W,Tertiary education,Other type of household with children,1492,35.0,short term,13,11,2,9,2
32,W,Tertiary education,Couple without children,1389,35.0,long term,14,10,4,10,3
30,W,Primary or lower secondary education,Couple without children,4110,18.0,long term,5,12,1,7,4
62,W,Upper secondary or post-secondary education,Couple without children,1110,50.0,long term,12,4,2,10,2
49,W,Upper secondary or post-secondary education,Couple with children,2949,39.0,long term,8,7,4,9,3
